Virginia Tech,23,Wake Forest,30
Temple,27,UTSA,21
Massachusetts,3,Western Michigan,21
Arizona,41,Oklahoma State,13
Alabama,30,Vanderbilt,14
Northwestern,42,UL Monroe,7
Akron,28,Central Michigan,22
Maryland,20,Washington,24
Buffalo,31,Eastern Michigan,30
Northern Illinois,14,Miami (OH),25
UCLA,42,Penn State,37
Georgia State,7,James Madison,14
SMU,31,Syracuse,18
UConn,51,Florida International,10
App State,27,Oregon State,23
Notre Dame,28,Boise State,7
Florida,29,Texas,21
Louisville,27,Virginia,30
Nebraska,38,Michigan State,27
Oklahoma,44,Kent State,0
Arkansas State,31,Texas State,30
Old Dominion,47,Coastal Carolina,7
Rice,21,Florida Atlantic,27
Wyoming,17,UNLV,31
Houston,11,Texas Tech,35
Troy,31,South Alabama,24
Florida State,22,Miami,28
UCF,20,Kansas,27
Ohio State,42,Minnesota,3
TCU,35,Colorado,21
Texas A&M,31,Mississippi State,9
Memphis,45,Tulsa,7
Fresno State,20,Nevada,17
California,21,Duke,45
Middle Tennessee,20,Missouri State,22
UTEP,8,Liberty,19
Kennesaw State,35,Louisiana Tech,7
Tulane,26,East Carolina,19
Sam Houston,27,Jacksonville State,29
Georgia Southern,35,Southern Miss,38
North Texas,36,South Florida,63
Colorado State,49,Fresno State,21
Washington,38,Rutgers,19
James Madison,24,Louisiana,14
Missouri,24,Alabama,27
SMU,34,Stanford,10
Army,24,Charlotte,7
Florida State,31,Pittsburgh,34
Bowling Green,28,Toledo,23
Akron,7,Miami (OH),20
Oklahoma State,17,Houston,39
Cincinnati,20,UCF,11
Illinois,16,Ohio State,34
Michigan State,13,UCLA,38
Ole Miss,24,Washington State,21
Eastern Michigan,16,Northern Illinois,10
Kent State,42,Massachusetts,6
Georgia State,20,App State,41
Maryland,31,Nebraska,34
Georgia Tech,35,Virginia Tech,20
Notre Dame,36,NC State,7
Oregon State,14,Wake Forest,39
Colorado,24,Iowa State,17
Oregon,20,Indiana,30
Texas,23,Oklahoma,6
Marshall,48,Old Dominion,24
Western Michigan,42,Ball State,0
UNLV,51,Air Force,48
Kansas State,41,TCU,28
Penn State,21,Northwestern,22
Temple,31,Navy,32
Tennessee,34,Arkansas,31
Florida Atlantic,53,UAB,33
Texas A&M,34,Florida,17
Coastal Carolina,23,UL Monroe,8
Wyoming,35,San José State,28
Wisconsin,0,Iowa,37
Texas Tech,42,Kansas,17
Minnesota,27,Purdue,20
UTSA,61,Rice,13
Boston College,10,Clemson,41
Auburn,10,Georgia,20
USC,31,Michigan,13
LSU,20,South Carolina,10
Texas State,41,Troy,48
Arizona,27,BYU,33
Boise State,41,New Mexico,25
Utah,42,Arizona State,10
Nevada,10,San Diego State,44
Hawai'i,44,Utah State,26
Liberty,30,New Mexico State,27
South Alabama,14,Arkansas State,15
Western Kentucky,6,Florida International,25
Jacksonville State,38,Delaware,25
Sam Houston,17,UTEP,35
East Carolina,41,Tulsa,27
Miami,21,Louisville,24
Minnesota,24,Nebraska,6
Utah State,30,San José State,25
California,21,North Carolina,18
Bowling Green,6,Central Michigan,27
Houston,31,Arizona,28
Vanderbilt,31,LSU,24
Michigan,24,Washington,7
Boston College,23,UConn,38
Miami (OH),44,Eastern Michigan,30
Duke,18,Georgia Tech,27
Tulane,24,Army,17
TCU,42,Baylor,36
South Carolina,7,Oklahoma,26
UCF,45,West Virginia,13
Toledo,45,Kent State,10
Massachusetts,21,Buffalo,28
UL Monroe,14,Troy,37
Northwestern,19,Purdue,0
Air Force,24,Wyoming,21
Boise State,56,UNLV,31
Arkansas,42,Texas A&M,45
Clemson,24,SMU,35
Wisconsin,0,Ohio State,34
Ohio,48,Northern Illinois,21
Ball State,42,Akron,28
North Texas,55,UTSA,17
Charlotte,14,Temple,49
James Madison,63,Old Dominion,27
App State,37,Coastal Carolina,45
Indiana,38,Michigan State,13
Georgia,43,Ole Miss,35
Marshall,40,Texas State,37
Arizona State,26,Texas Tech,22
UAB,31,Memphis,24
Florida,23,Mississippi State,21
Louisiana,10,Southern Miss,22
Virginia,22,Washington State,20
Rutgers,10,Oregon,56
Georgia Southern,41,Georgia State,24
Colorado State,19,Hawai'i,31
UCLA,20,Maryland,17
Iowa,25,Penn State,24
Kentucky,13,Texas,16
Alabama,37,Tennessee,20
Syracuse,13,Pittsburgh,30
South Florida,48,Florida Atlantic,13
Notre Dame,34,USC,24
Auburn,17,Missouri,23
Oklahoma State,17,Cincinnati,49
BYU,24,Utah,21
New Mexico,24,Nevada,22
Stanford,20,Florida State,13
Florida International,26,Kennesaw State,45
Louisiana Tech,27,Western Kentucky,28
Delaware,31,Middle Tennessee,28
New Mexico State,17,Missouri State,24
Georgia State,31,South Alabama,38
Charlotte,20,North Texas,54
Virginia Tech,42,California,34
Nevada,3,Boise State,24
Eastern Michigan,21,Ohio,28
Nebraska,28,Northwestern,21
Old Dominion,24,App State,21
Oklahoma,26,Ole Miss,34
Memphis,34,South Florida,31
Kent State,24,Bowling Green,21
Wake Forest,13,SMU,12
Georgia Tech,41,Syracuse,16
Indiana,56,UCLA,6
North Carolina,16,Virginia,17
Kansas,17,Kansas State,42
Purdue,24,Rutgers,27
Arkansas,24,Auburn,33
Buffalo,16,Akron,24
Rice,37,UConn,34
New Mexico,33,Utah State,14
Tulsa,37,Temple,38
Miami (OH),26,Western Michigan,17
Iowa State,27,BYU,41
Central Michigan,38,Massachusetts,13
South Carolina,22,Alabama,29
Northern Illinois,21,Ball State,7
Pittsburgh,53,NC State,34
Vanderbilt,17,Missouri,10
Fresno State,0,San Diego State,23
Washington,42,Illinois,25
Navy,42,Florida Atlantic,32
Washington State,28,Toledo,7
Iowa,41,Minnesota,3
Southern Miss,49,UL Monroe,21
Cincinnati,41,Baylor,20
Texas Tech,42,Oklahoma State,0
Mississippi State,38,Texas,45
West Virginia,17,TCU,23
Miami,42,Stanford,7
Arkansas State,34,Georgia Southern,24
Troy,35,Louisiana,23
Oregon,21,Wisconsin,7
Wyoming,28,Colorado State,0
LSU,25,Texas A&M,49
Louisville,38,Boston College,24
Michigan State,20,Michigan,31
Kentucky,34,Tennessee,56
Arizona State,16,Houston,24
Utah,53,Colorado,7
Texas State,20,James Madison,52
Kennesaw State,33,UTEP,20
Middle Tennessee,21,Jacksonville State,24
Missouri State,28,Florida International,21
UTSA,48,Tulane,26
Coastal Carolina,44,Marshall,27
Rice,14,Memphis,38
Syracuse,10,North Carolina,27
Louisiana Tech,55,Sam Houston,14
Illinois,35,Rutgers,13
UConn,38,UAB,19
North Texas,31,Navy,17
Air Force,17,Army,20
Texas,34,Vanderbilt,31
Clemson,45,Duke,46
Ohio State,38,Penn State,14
Bowling Green,3,Buffalo,28
Baylor,30,UCF,3
SMU,26,Miami,20
Houston,35,West Virginia,45
Iowa State,19,Arizona State,24
Temple,14,East Carolina,45
UNLV,35,New Mexico,40
Virginia Tech,16,Louisville,28
Liberty,59,Delaware,30
UL Monroe,6,Old Dominion,31
Minnesota,23,Michigan State,20
Boise State,7,Fresno State,30
South Alabama,22,Louisiana,31
Western Kentucky,35,New Mexico State,16
Maryland,10,Indiana,55
Stanford,20,Pittsburgh,35
Boston College,10,Notre Dame,25
Florida,20,Georgia,24
Kansas State,20,Texas Tech,43
California,21,Virginia,31
Arkansas,35,Mississippi State,38
Western Michigan,24,Central Michigan,21
Kansas,38,Oklahoma State,21
Colorado,17,Arizona,52
Michigan,21,Purdue,16
Ole Miss,30,South Carolina,14
San Diego State,24,Wyoming,7
NC State,48,Georgia Tech,36
Oregon State,10,Washington State,7
Nebraska,17,USC,21
Tennessee,27,Oklahoma,33
Florida State,42,Wake Forest,7
Auburn,3,Kentucky,10
Troy,10,Arkansas State,23
Utah,45,Cincinnati,14
San José State,45,Hawai'i,38
Ohio,24,Miami (OH),20
Akron,44,Massachusetts,10
Ball State,17,Kent State,13
Toledo,42,Northern Illinois,3
South Florida,55,UTSA,23
App State,23,Georgia Southern,25
UCF,27,Houston,30
USC,38,Northwestern,17
Memphis,32,Tulane,38
Penn State,24,Indiana,27
Army,14,Temple,13
West Virginia,29,Colorado,22
Mississippi State,21,Georgia,41
Arkansas State,21,Southern Miss,27
Marshall,23,James Madison,35
Texas Tech,29,BYU,7
Boston College,13,SMU,45
Eastern Michigan,27,Bowling Green,21
Purdue,10,Ohio State,34
Liberty,17,Missouri State,21
Rice,24,UAB,17
Rutgers,35,Maryland,20
East Carolina,48,Charlotte,22
Florida Atlantic,40,Tulsa,21
UTEP,27,Jacksonville State,30
Middle Tennessee,30,Florida International,56
Delaware,25,Louisiana Tech,24
Arizona,24,Kansas,20
Miami,38,Syracuse,10
UConn,37,Duke,34
Missouri,17,Texas A&M,38
TCU,17,Iowa State,20
Iowa,16,Oregon,18
Vanderbilt,45,Auburn,38
New Mexico State,21,Kennesaw State,24
Coastal Carolina,40,Georgia State,27
North Carolina,20,Stanford,15
